ACCT_ID,BILLING_REF,CUST_NM,TAX_ID,SVC_ADDR,PROVINCE,PLAN_CD,PLAN_FEE,INCLUDED_GB,PREV_PLAN_FEE,PLAN_CHG_DAY,LINE_CNT,PROMO_AMT,PROMO_DT,SUSP_START,SUSP_END,PRIOR_BAL,PRIOR_DUE,LOYALTY_PCT
MER-011861,TN-0125,Trillium Health Network Corp.,23-4666175,"1996 Burrard St, Vancouver, BC V6C 2G8",BC,BIZ-250,380.0,250,0.0,0,1,75.0,2026-06-27,0,0,0.0,,3.0
MER-011868,TN-0126,Selkirk Logistics Corp.,83-9794118,"3439 Jasper Ave, Edmonton, AB T5J 1W8",AB,ENT-5000,4200.0,5000,0.0,0,11,75.0,2026-07-12,0,0,1971.32,2026-06-10,5.0
MER-011875,TN-0127,Rideau Credit Union ULC,56-4302686,"1013 Ouellette Ave, Windsor, ON N9A 1C4",ON,ENT-2500,2400.0,2500,1150.0,26,8,0.0,,0,0,0.0,,4.0
MER-011882,TN-0128,Peace River Engineering Ltd.,85-2814026,"2039 Boulevard Talbot, Saguenay, QC G7H 4B3",QC,ENT-1000,1150.0,1000,0.0,0,3,0.0,,0,0,0.0,,0.0
MER-011889,TN-0129,Algonquin Biotech Ltd.,56-3303257,"1185 Lougheed Hwy, Burnaby, BC V5C 4Y2",BC,BIZ-500,640.0,500,0.0,0,4,75.0,2026-06-27,0,0,1346.81,2026-06-25,8.0
MER-011896,TN-0130,Rideau Health Network Inc.,15-2693022,"3625 Jasper Ave, Edmonton, AB T5J 1W8",AB,BIZ-250,380.0,250,4200.0,26,1,200.0,2026-07-12,0,0,0.0,,0.0
MER-011903,TN-0131,Wapiti Biotech Inc.,56-4888483,"1917 Bay St, Toronto, ON M5J 2T3",ON,ENT-5000,4200.0,5000,0.0,0,3,0.0,,0,0,1479.51,2026-06-10,4.0
MER-011910,TN-0132,Sherbrooke Food Distribution Corp.,27-2089275,"845 Rue King Ouest, Sherbrooke, QC J1H 1P9",QC,ENT-2500,2400.0,2500,0.0,0,6,0.0,,0,0,0.0,,8.0
MER-011917,TN-0133,Redwater Logistics Corp.,20-1311761,"447 Lougheed Hwy, Burnaby, BC V5C 4Y2",BC,ENT-1000,1150.0,1000,640.0,17,2,75.0,2026-06-24,6,9,0.0,,3.0
MER-011924,TN-0134,Selkirk Logistics ULC,94-1656589,"3235 Mayor Magrath Dr, Lethbridge, AB T1K 2R1",AB,BIZ-500,640.0,500,0.0,0,4,350.0,2026-06-29,0,0,297.97,2026-06-30,3.0
MER-011931,TN-0135,Humber Mining Inc.,21-3924905,"2584 King St W, Kitchener, ON N2G 1B3",ON,BIZ-250,380.0,250,0.0,0,22,0.0,,0,0,0.0,,8.0
MER-011938,TN-0136,Saguenay Transit Authority Corp.,34-1734850,"174 Rue King Ouest, Sherbrooke, QC J1H 1P9",QC,ENT-5000,4200.0,5000,2400.0,17,4,0.0,,0,0,1821.49,2026-06-19,4.0
MER-011945,TN-0137,Coquitlam Transit Authority Ltd.,86-4276112,"4300 Lougheed Hwy, Burnaby, BC V5C 4Y2",BC,ENT-2500,2400.0,2500,0.0,0,14,75.0,2026-06-24,0,0,0.0,,5.0
MER-011952,TN-0138,Bonaventure Manufacturing Corp.,62-4162444,"2196 Gaetz Ave, Red Deer, AB T4N 4E1",AB,ENT-1000,1150.0,1000,0.0,0,1,75.0,2026-07-18,0,0,0.0,,8.0
MER-011959,TN-0139,Cascade Retail Group ULC,75-2051618,"469 Ouellette Ave, Windsor, ON N9A 1C4",ON,BIZ-500,640.0,500,380.0,4,6,0.0,,0,0,943.43,2026-06-14,0.0
MER-011966,TN-0140,Okanagan Hospitality Group Inc.,68-6132175,"125 Boulevard Talbot, Saguenay, QC G7H 4B3",QC,BIZ-250,380.0,250,0.0,0,6,0.0,,0,0,0.0,,5.0
MER-011973,TN-0141,Fraser Hospitality Group Corp.,79-4383727,"2552 Burrard St, Vancouver, BC V6C 2G8",BC,ENT-5000,4200.0,5000,0.0,0,8,75.0,2026-06-24,0,0,678.19,2026-06-30,8.0
MER-011980,TN-0142,Athabasca Media Networks Ltd.,70-5985203,"3796 Stephen Ave, Calgary, AB T2P 1J9",AB,ENT-2500,2400.0,2500,1150.0,9,6,120.0,2026-06-22,0,0,0.0,,4.0
MER-011987,TN-0143,Laurentide School Board Ltd.,85-9316847,"2799 Bay St, Toronto, ON M5J 2T3",ON,ENT-1000,1150.0,1000,0.0,0,3,0.0,,0,0,0.0,,5.0
MER-011994,TN-0144,Bow River Energy Services Corp.,81-3045464,"3576 Rue King Ouest, Sherbrooke, QC J1H 1P9",QC,BIZ-500,640.0,500,0.0,0,6,0.0,,0,0,1917.4,2026-06-14,5.0
MER-012001,TN-0145,Cascade Logistics ULC,42-4624313,"3671 Columbia Ave, Kamloops, BC V2C 1L2",BC,BIZ-250,380.0,250,4200.0,17,11,350.0,2026-07-06,0,0,0.0,,0.0
MER-012008,TN-0146,Georgian Bay Biotech Inc.,44-7659863,"2047 Stephen Ave, Calgary, AB T2P 1J9",AB,ENT-5000,4200.0,5000,0.0,0,22,75.0,2026-07-12,0,0,2499.34,2026-06-10,3.0
MER-012015,TN-0147,Laurentide Manufacturing ULC,39-1234501,"3620 King St W, Kitchener, ON N2G 1B3",ON,ENT-2500,2400.0,2500,0.0,0,3,0.0,,0,0,0.0,,3.0
MER-012022,TN-0148,Gaspesie Analytics Corp.,86-2204225,"2146 Boulevard Talbot, Saguenay, QC G7H 4B3",QC,ENT-1000,1150.0,1000,640.0,17,8,0.0,,0,0,0.0,,3.0
MER-012029,TN-0149,Bow River Hospitality Group Inc.,77-9995844,"2001 Douglas St, Victoria, BC V8W 2B7",BC,BIZ-500,640.0,500,0.0,0,4,75.0,2026-06-22,0,0,492.26,2026-06-14,0.0
MER-012036,TN-0150,Saint-Laurent Credit Union Ltd.,56-8194564,"2952 Mayor Magrath Dr, Lethbridge, AB T1K 2R1",AB,BIZ-250,380.0,250,0.0,0,2,75.0,2026-06-29,0,0,0.0,,3.0
MER-012043,TN-0151,Humber Hospitality Group Inc.,25-2821510,"272 Bay St, Toronto, ON M5J 2T3",ON,ENT-5000,4200.0,5000,2400.0,12,6,0.0,,0,0,2380.56,2026-06-10,4.0
MER-012050,TN-0152,Georgian Bay Health Network Corp.,39-8181701,"2030 Boulevard Talbot, Saguenay, QC G7H 4B3",QC,ENT-2500,2400.0,2500,0.0,0,3,0.0,,0,0,0.0,,5.0
MER-012057,TN-0153,Bonaventure Credit Union Ltd.,79-3711213,"1571 Columbia Ave, Kamloops, BC V2C 1L2",BC,ENT-1000,1150.0,1000,0.0,0,8,120.0,2026-07-18,0,0,0.0,,8.0
MER-012064,TN-0154,Bonaventure Retail Group ULC,31-6755597,"193 Mayor Magrath Dr, Lethbridge, AB T1K 2R1",AB,BIZ-500,640.0,500,380.0,21,2,120.0,2026-07-06,0,0,920.88,2026-06-14,4.0
MER-012071,TN-0155,Richelieu Engineering Corp.,44-7799226,"2620 Ouellette Ave, Windsor, ON N9A 1C4",ON,BIZ-250,380.0,250,0.0,0,2,0.0,,0,0,0.0,,8.0
MER-012078,TN-0156,Nechako Logistics ULC,96-5720330,"3268 Boulevard Talbot, Saguenay, QC G7H 4B3",QC,ENT-5000,4200.0,5000,0.0,0,3,0.0,,0,0,2026.78,2026-06-10,3.0
MER-012085,TN-0157,Bow River Engineering Inc.,61-3768696,"3748 Douglas St, Victoria, BC V8W 2B7",BC,ENT-2500,2400.0,2500,1150.0,4,22,200.0,2026-07-18,0,0,0.0,,4.0
MER-012092,TN-0158,Cascade Manufacturing Ltd.,29-4674695,"3467 Mayor Magrath Dr, Lethbridge, AB T1K 2R1",AB,ENT-1000,1150.0,1000,0.0,0,22,200.0,2026-07-18,18,27,0.0,,4.0
MER-012099,TN-0159,Rideau Transit Authority Inc.,87-1608620,"2287 Bay St, Toronto, ON M5J 2T3",ON,BIZ-500,640.0,500,0.0,0,3,0.0,,0,0,841.36,2026-06-25,4.0
MER-012106,TN-0160,Bonaventure Biotech Ltd.,72-5012249,"838 Rue King Ouest, Sherbrooke, QC J1H 1P9",QC,BIZ-250,380.0,250,4200.0,12,1,0.0,,0,0,0.0,,4.0
MER-012113,TN-0161,Cascade Engineering Corp.,37-7668675,"2117 Burrard St, Vancouver, BC V6C 2G8",BC,ENT-5000,4200.0,5000,0.0,0,3,75.0,2026-07-12,0,0,1604.28,2026-06-19,5.0
MER-012120,TN-0162,Sherbrooke School Board ULC,12-7264099,"2895 Gaetz Ave, Red Deer, AB T4N 4E1",AB,ENT-2500,2400.0,2500,0.0,0,14,75.0,2026-07-12,0,0,0.0,,3.0
MER-012127,TN-0163,Bow River Biotech Corp.,96-9215968,"484 King St W, Kitchener, ON N2G 1B3",ON,ENT-1000,1150.0,1000,640.0,12,1,0.0,,0,0,0.0,,8.0
MER-012134,TN-0164,Algonquin School Board ULC,40-4244658,"994 Boulevard Talbot, Saguenay, QC G7H 4B3",QC,BIZ-500,640.0,500,0.0,0,2,0.0,,0,0,209.39,2026-06-19,3.0
MER-012141,TN-0165,Selkirk Analytics Inc.,75-7868786,"4302 Lougheed Hwy, Burnaby, BC V5C 4Y2",BC,BIZ-250,380.0,250,0.0,0,3,120.0,2026-06-24,0,0,0.0,,0.0
MER-012148,TN-0166,Peace River Transit Authority Corp.,53-2318809,"3421 Jasper Ave, Edmonton, AB T5J 1W8",AB,ENT-5000,4200.0,5000,2400.0,4,6,120.0,2026-07-18,0,0,781.83,2026-06-10,3.0
MER-012155,TN-0167,Bonaventure Retail Group ULC,84-3313005,"302 Elgin St, Ottawa, ON K2P 1L4",ON,ENT-2500,2400.0,2500,0.0,0,1,0.0,,0,0,0.0,,3.0
MER-012162,TN-0168,Prairie Rose Energy Services Ltd.,47-6020331,"3082 Rue Sainte-Catherine, Montreal, QC H3B 1A7",QC,ENT-1000,1150.0,1000,0.0,0,6,0.0,,0,0,0.0,,0.0
MER-012169,TN-0169,Algonquin Engineering ULC,15-6297909,"1842 Columbia Ave, Kamloops, BC V2C 1L2",BC,BIZ-500,640.0,500,380.0,21,8,200.0,2026-06-24,0,0,2172.44,2026-06-25,8.0
MER-012176,TN-0170,Athabasca Analytics Inc.,28-8522044,"789 Stephen Ave, Calgary, AB T2P 1J9",AB,BIZ-250,380.0,250,0.0,0,2,200.0,2026-07-12,0,0,0.0,,0.0
MER-012183,TN-0171,Coquitlam Transit Authority Ltd.,45-8814762,"1177 Elgin St, Ottawa, ON K2P 1L4",ON,ENT-5000,4200.0,5000,0.0,0,11,0.0,,0,0,2309.07,2026-06-25,4.0
MER-012190,TN-0172,Bonaventure Logistics ULC,45-9950955,"1088 Rue King Ouest, Sherbrooke, QC J1H 1P9",QC,ENT-2500,2400.0,2500,1150.0,26,2,0.0,,0,0,0.0,,5.0
MER-012197,TN-0173,Wapiti Transit Authority Ltd.,25-7789488,"802 Columbia Ave, Kamloops, BC V2C 1L2",BC,ENT-1000,1150.0,1000,0.0,0,4,120.0,2026-07-06,0,0,0.0,,4.0
MER-012204,TN-0174,Saint-Laurent Logistics Corp.,42-9467317,"3579 Gaetz Ave, Red Deer, AB T4N 4E1",AB,BIZ-500,640.0,500,0.0,0,3,75.0,2026-06-24,0,0,1670.63,2026-06-10,5.0
MER-012211,TN-0175,Beauport Food Distribution Corp.,49-4067265,"3451 Bay St, Toronto, ON M5J 2T3",ON,BIZ-250,380.0,250,4200.0,12,6,0.0,,0,0,0.0,,8.0
MER-012218,TN-0176,Fraser Credit Union Ltd.,14-1190879,"3558 Boulevard Talbot, Saguenay, QC G7H 4B3",QC,ENT-5000,4200.0,5000,0.0,0,8,0.0,,0,0,1658.11,2026-06-14,8.0
MER-012225,TN-0177,Bow River Transit Authority Ltd.,12-6548012,"4521 Columbia Ave, Kamloops, BC V2C 1L2",BC,ENT-2500,2400.0,2500,0.0,0,6,350.0,2026-06-27,0,0,0.0,,4.0
MER-012232,TN-0178,Bonaventure Energy Services Inc.,70-2068518,"4276 Stephen Ave, Calgary, AB T2P 1J9",AB,ENT-1000,1150.0,1000,640.0,26,8,75.0,2026-06-24,0,0,0.0,,5.0
MER-012239,TN-0179,Laurentide Retail Group Inc.,23-5651674,"1726 Elgin St, Ottawa, ON K2P 1L4",ON,BIZ-500,640.0,500,0.0,0,4,0.0,,0,0,313.32,2026-06-30,0.0
MER-012246,TN-0180,Sherbrooke Engineering Corp.,51-1963446,"4197 Boulevard Charest, Quebec City, QC G1K 3H8",QC,BIZ-250,380.0,250,0.0,0,3,0.0,,0,0,0.0,,8.0
MER-012253,TN-0181,Okanagan Mining Ltd.,17-2447867,"3487 Lougheed Hwy, Burnaby, BC V5C 4Y2",BC,ENT-5000,4200.0,5000,2400.0,26,14,75.0,2026-07-06,0,0,849.79,2026-06-19,3.0
MER-012260,TN-0182,Rideau Transit Authority Ltd.,39-8481799,"4077 Mayor Magrath Dr, Lethbridge, AB T1K 2R1",AB,ENT-2500,2400.0,2500,0.0,0,14,75.0,2026-07-18,0,0,0.0,,5.0
MER-012267,TN-0183,Okanagan Hospitality Group ULC,71-7964583,"3352 King St W, Kitchener, ON N2G 1B3",ON,ENT-1000,1150.0,1000,0.0,0,4,0.0,,18,27,0.0,,4.0
MER-012274,TN-0184,Athabasca Biotech Corp.,68-7428362,"3677 Rue King Ouest, Sherbrooke, QC J1H 1P9",QC,BIZ-500,640.0,500,380.0,26,1,0.0,,0,0,300.81,2026-06-10,5.0
MER-012281,TN-0185,Rideau Credit Union Corp.,60-8508335,"1004 Burrard St, Vancouver, BC V6C 2G8",BC,BIZ-250,380.0,250,0.0,0,6,120.0,2026-06-24,0,0,0.0,,5.0
MER-012288,TN-0186,Chinook Retail Group ULC,55-7882771,"4394 Stephen Ave, Calgary, AB T2P 1J9",AB,ENT-5000,4200.0,5000,0.0,0,2,350.0,2026-07-18,0,0,453.44,2026-06-10,4.0
MER-012295,TN-0187,Trillium Energy Services Ltd.,18-1111786,"3365 King St W, Kitchener, ON N2G 1B3",ON,ENT-2500,2400.0,2500,1150.0,4,22,0.0,,0,0,0.0,,5.0
MER-012302,TN-0188,Georgian Bay Media Networks ULC,67-4358623,"4253 Boulevard Talbot, Saguenay, QC G7H 4B3",QC,ENT-1000,1150.0,1000,0.0,0,3,0.0,,0,0,0.0,,4.0
MER-012309,TN-0189,Saguenay School Board Ltd.,65-6166750,"3370 Burrard St, Vancouver, BC V6C 2G8",BC,BIZ-500,640.0,500,0.0,0,1,75.0,2026-07-06,0,0,534.7,2026-06-25,3.0
MER-012316,TN-0190,Laurentide Biotech ULC,58-1162811,"4552 Mayor Magrath Dr, Lethbridge, AB T1K 2R1",AB,BIZ-250,380.0,250,4200.0,26,14,75.0,2026-07-06,0,0,0.0,,0.0
MER-012323,TN-0191,Nechako Food Distribution ULC,86-3245886,"1203 Elgin St, Ottawa, ON K2P 1L4",ON,ENT-5000,4200.0,5000,0.0,0,4,0.0,,0,0,2322.31,2026-06-14,5.0
MER-012330,TN-0192,Saint-Laurent Manufacturing Inc.,35-4117099,"1982 Boulevard Talbot, Saguenay, QC G7H 4B3",QC,ENT-2500,2400.0,2500,0.0,0,1,0.0,,0,0,0.0,,3.0
MER-012337,TN-0193,Algonquin Hospitality Group Inc.,71-4235712,"52 Burrard St, Vancouver, BC V6C 2G8",BC,ENT-1000,1150.0,1000,640.0,26,8,120.0,2026-07-12,0,0,0.0,,0.0
MER-012344,TN-0194,Peace River Food Distribution Inc.,66-6495435,"2883 Jasper Ave, Edmonton, AB T5J 1W8",AB,BIZ-500,640.0,500,0.0,0,4,350.0,2026-06-29,0,0,719.24,2026-06-30,4.0
MER-012351,TN-0195,Wapiti School Board ULC,35-5541564,"2086 Elgin St, Ottawa, ON K2P 1L4",ON,BIZ-250,380.0,250,0.0,0,1,0.0,,0,0,0.0,,4.0
MER-012358,TN-0196,Athabasca Energy Services Ltd.,53-8773011,"599 Rue Sainte-Catherine, Montreal, QC H3B 1A7",QC,ENT-5000,4200.0,5000,2400.0,9,6,0.0,,0,0,643.51,2026-06-10,8.0
MER-012365,TN-0197,Nechako Manufacturing Corp.,55-2141770,"2252 Burrard St, Vancouver, BC V6C 2G8",BC,ENT-2500,2400.0,2500,0.0,0,22,350.0,2026-06-29,0,0,0.0,,0.0
MER-012372,TN-0198,Gaspesie Biotech Corp.,41-3708134,"1444 Jasper Ave, Edmonton, AB T5J 1W8",AB,ENT-1000,1150.0,1000,0.0,0,11,350.0,2026-06-22,0,0,0.0,,8.0
MER-012379,TN-0199,Coquitlam Health Network Ltd.,85-2829291,"4464 Bay St, Toronto, ON M5J 2T3",ON,BIZ-500,640.0,500,380.0,21,6,0.0,,0,0,2261.64,2026-06-30,0.0
MER-012386,TN-0200,Richelieu School Board ULC,33-6625317,"2692 Boulevard Charest, Quebec City, QC G1K 3H8",QC,BIZ-250,380.0,250,0.0,0,8,0.0,,0,0,0.0,,3.0
